state,x,y
Jacobabad,-37.0,245.0
Kashmore,34.0,247.0
Qambar,-127.0,180.0
Larkana,-78.0,168.0
Shikarpur,-35.0,211.0
Ghotki,73.0,201.0
Sukkur,21.0,164.0
Dadu,-160.0,94.0
N.Feroze,-84.0,90.0
Khairpur,3.0,88.0
Jamshoro,-125.0,-30.0
Benazirabad,-66.0,27.0
Sanghar,26.0,-6.0
Matiari,-49.0,-43.0
Karachi,-188.0,-115.0
Hyderabad,-51.0,-90.0
T.Allahyar,-13.0,-72.0
Mirpur Khas,25.0,-85.0
Umerkot,87.0,-84.0
Thatta,-139.0,-172.0
T.M.Khan,-47.0,-127.0
Badin,-3.0,-174.0
Sujawal,-82.0,-223.0
Tharparkar,118.0,-153.0
